authorityGroupId,createdTimestamp,updatedTimestamp,atlasStatus,groupType,reference,title,url,notes
,,,relOnly,collectedAuthority,ITU-T X.682 (08/2015) / ISO/IEC 8824-3:2015 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Constraint Specification [ITU-T X.682 (08/2015) / ISO/IEC 8824-3:2015],,
,,,relOnly,collectedAuthority,ITU-T X.682 (02/2021) / ISO/IEC 8824-3:2021 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Constraint Specification [ITU-T X.682 (02/2021) / ISO/IEC 8824-3:2021],,
,,,relOnly,versionedAuthority,ITU-T X.683 / ISO/IEC 8824-4,Information Technology — Abstract Syntax Notation One (ASN.1): Parameterization of ASN.1 Specifications,,
,,,relOnly,collectedAuthority,ITU-T X.683 (07/1994) / ISO/IEC 8824-4:1995 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Parameterization of ASN.1 Specifications [ITU-T X.683 (07/1994) / ISO/IEC 8824-4:1995],,
,,,relOnly,collectedAuthority,ITU-T X.683 (12/1997) / ISO/IEC 8824-4:1998 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Parameterization of ASN.1 Specifications [ITU-T X.683 (12/1997) / ISO/IEC 8824-4:1998],,
,,,relOnly,collectedAuthority,ITU-T X.683 (07/2002) / ISO/IEC 8824-4:2002 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Parameterization of ASN.1 Specifications [ITU-T X.683 (07/2002) / ISO/IEC 8824-4:2002],,
,,,relOnly,collectedAuthority,ITU-T X.683 (11/2008) / ISO/IEC 8824-4:2008 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Parameterization of ASN.1 Specifications [ITU-T X.683 (11/2008) / ISO/IEC 8824-4:2008],,
,,,relOnly,collectedAuthority,ITU-T X.683 (08/2015) / ISO/IEC 8824-4:2015 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Parameterization of ASN.1 Specifications [ITU-T X.683 (08/2015) / ISO/IEC 8824-4:2015],,
,,,relOnly,collectedAuthority,ITU-T X.683 (02/2021) / ISO/IEC 8824-4:2021 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Parameterization of ASN.1 Specifications [ITU-T X.683 (02/2021) / ISO/IEC 8824-4:2021],,
,,,relOnly,versionedAuthority,ITU-T X.690 / ISO/IEC 8825-1,"Information technology — ASN.1 Encoding Rules: Specification of Basic Encoding Rules (BER), Canonical Encoding Rules (CER) and Distinguished Encoding Rules (DER)",,
