artifactId,createdTimestamp,updatedTimestamp,artifactType,artifactSubtype,artifactTypeGroup,shortName,fullName,status,notes
,,,cryptographicAlgorithm,blockCipher,,AES-192,Advanced Encryption Standard (192 bit key),,
,,,cryptographicAlgorithm,blockCipher,,AES-256,Advanced Encryption Standard (256 bit key),,
,,,cryptographicAlgorithm,blockCipherMode,,ECB mode,Electronic Codebook mode,,
,,,cryptographicAlgorithm,blockCipherMode,,CBC mode,Cipher Block Chaining mode,,
,,,cryptographicAlgorithm,blockCipherMode,,CFB mode,Cipher Feedback mode,,
,,,cryptographicAlgorithm,blockCipherMode,,OFB mode,Output Feedback mode,,
,,,cryptographicAlgorithm,blockCipherMode,,CTR mode,Counter mode,,
,,,cryptographicAlgorithm,blockCipherMode,,GCM mode,Galois/Counter mode,,
,,,cryptographicAlgorithm,streamCipher,,RC4,RC4 stream cipher,,
,,,cryptographicAlgorithm,streamCipher,,ChaCha20,ChaCha20 stream cipher,,
,,,cryptographicAlgorithm,asymmetricCipher,,RSAES-PKCS1-v1.5,RSA encryption scheme (PKCS #1 v1.5),,
,,,cryptographicAlgorithm,asymmetricCipher,,RSAES-OAEP,RSA encryption scheme (optimal asymmetric encryption padding),,
,,,cryptographicAlgorithm,asymmetricCipher,,ElGamal cipher,ElGamal public-key cryptosystem,,
,,,cryptographicAlgorithm,digitalSignatureAlgorithm,,DSA,Digital Signature Algorithm,,
,,,cryptographicAlgorithm,digitalSignatureAlgorithm,,ECDSA,Elliptic Curve Digital Signature Algorithm,,
,,,cryptographicAlgorithm,digitalSignatureAlgorithm,,EdDSA,Edwards-curve Digital Signature Algorithm,,
,,,cryptographicAlgorithm,digitalSignatureAlgorithm,,RSASSA-PKCS1-v1.5,RSA signature scheme (PKCS #1 v1.5),,
,,,cryptographicAlgorithm,digitalSignatureAlgorithm,,RSASSA-PSS,RSA signature scheme (probabilistic signature scheme),,
,,,cryptographicAlgorithm,cryptographicHash,,MD2,Message Digest 2,,
,,,cryptographicAlgorithm,cryptographicHash,,MD4,Message Digest 4,,
,,,cryptographicAlgorithm,cryptographicHash,,MD5,MD5 message-digest,,
,,,cryptographicAlgorithm,cryptographicHash,,SHA-0,Secure Hash Algorithm (FIPS 180),,
